algorithm,n,s,trials,mean_key_comparisons,stddev_key_comparisons,mean_cpu_time_ms,median_cpu_time_ms,stddev_cpu_time_ms
Original Merge Sort,10000000,N/A,10,220102181.10,1886.26,1506.6454,1502.4635,18.2048
Hybrid Merge Sort,10000000,60,10,281247266.90,15643.17,1306.2330,1303.3465,11.6005
